FormNO,District,Age,Gender,Income,Education,Sevice_evaluation
450,Chitwan,50,Male,12400,Bachelor,Ok
451,Chitwan,56,Male,14800,Inter/+2,Ok
452,Chitwan,44,Male,11700,Inter/+2,Good
453,Chitwan,72,Male,4200,SLC/SEE,Good
454,Chitwan,19,Female,12300,Bachelor,Ok
455,Chitwan,57,Female,12800,Below SLC/SEE,Good
456,Chitwan,44,Male,10100,SLC/SEE,Bad
457,Chitwan,44,Female,13500,SLC/SEE,Good
458,Chitwan,37,Male,13100,Masters and above,Good
459,Chitwan,49,Female,12800,Below SLC/SEE,Ok
460,Chitwan,36,Male,13100,SLC/SEE,Ok
461,Chitwan,56,Male,11700,Below SLC/SEE,Ok
462,Chitwan,53,Male,12100,SLC/SEE,Ok
463,Chitwan,30,Male,13800,Inter/+2,Ok
464,Chitwan,53,Male,13400,SLC/SEE,Ok
465,Chitwan,27,Female,12100,Below SLC/SEE,Ok
466,Chitwan,26,Male,12400,Bachelor,Good
467,Chitwan,47,Male,13300,SLC/SEE,Ok
468,Chitwan,63,Male,4800,SLC/SEE,Good
469,Chitwan,46,Male,11100,Inter/+2,Ok
470,Chitwan,67,Male,4000,SLC/SEE,Ok
471,Chitwan,44,Male,11900,Inter/+2,Ok
472,Chitwan,60,Female,5000,SLC/SEE,Ok
473,Chitwan,42,Male,10700,SLC/SEE,Ok
474,Chitwan,35,Male,11500,SLC/SEE,Very Good
475,Chitwan,69,Male,6700,Below SLC/SEE,Ok
476,Chitwan,37,Male,10400,Below SLC/SEE,Good
477,Chitwan,57,Male,13200,Below SLC/SEE,Ok
478,Chitwan,49,Male,14400,SLC/SEE,Ok
479,Chitwan,27,Male,14300,SLC/SEE,Ok
480,Chitwan,36,Male,13500,Inter/+2,Ok
481,Chitwan,39,Female,14400,SLC/SEE,Ok
482,Chitwan,45,Male,11400,SLC/SEE,Ok
483,Chitwan,32,Female,14900,Bachelor,Good
484,Chitwan,39,Male,11300,Inter/+2,Ok
485,Chitwan,33,Male,14900,Bachelor,Ok
486,Chitwan,26,Female,10000,SLC/SEE,Bad
487,Chitwan,22,Female,12800,Inter/+2,Good
488,Chitwan,21,Female,14200,SLC/SEE,Bad
489,Chitwan,40,Female,12600,SLC/SEE,Good
490,Chitwan,31,Male,14500,SLC/SEE,Ok
491,Chitwan,70,Female,5100,Below SLC/SEE,Ok
